trial,seed,condition,contrast,utterance,u_len,rsa_prob,aif_prob,listener_p_target,is_correct
0,3,close,46.0,blue,1,0.15521125098968716,0.14490150335141327,0.0,0
1,3,close,28.0,purple,1,0.1552112509896867,0.14490150335141327,1.0,1
2,3,split,16.0,dark red,2,0.13359156175773462,0.14132387248644004,0.0,0
3,3,far,39.0,light purple,2,0.13359156175773498,0.14132387248644004,1.0,1
4,3,close,60.0,vivid green,2,0.13359156175773462,0.14132387248644004,0.0,0
5,3,far,19.0,green,1,0.15521125098968716,0.14490150335141327,0.0,0
6,3,far,48.0,light yellow,2,0.13359156175773498,0.14132387248644004,1.0,1
7,3,close,23.0,red,1,0.15521125098968716,0.14490150335141327,0.0,0
8,3,split,36.0,light orange,2,0.13359156175773498,0.14132387248644004,1.0,1
9,3,close,10.0,pink,1,0.15521125098968716,0.14490150335141327,0.0,0
10,3,far,40.0,blue,1,0.15521125098968716,0.14490150335141327,0.0,0
11,3,far,43.0,dull purple,2,0.13359156175773462,0.14132387248644004,0.0,0
12,3,far,24.0,vivid cyan,2,0.13359156175773462,0.14132387248644004,0.0,0
13,3,far,11.0,green,1,0.15521125098968716,0.14490150335141327,0.0,0
14,3,split,13.0,brown,1,0.15521125098968716,0.14490150335141327,0.0,0
15,3,split,23.0,dark cyan,2,0.13359156175773498,0.14132387248644004,1.0,1
16,3,close,25.0,light green,2,0.13359156175773462,0.14132387248644004,0.0,0
17,3,far,15.0,cyan,1,0.1552112509896867,0.14490150335141327,1.0,1
18,3,split,33.0,dull pink,2,0.13359156175773462,0.14132387248644004,0.0,0
19,3,close,18.0,green,1,0.15521125098968716,0.14490150335141327,0.0,0
20,3,close,47.0,light cyan,2,0.13359156175773462,0.14132387248644004,0.0,0
21,3,split,79.0,orange,1,0.1552112509896867,0.14490150335141327,1.0,1
22,3,close,43.0,light red,2,0.13359156175773462,0.14132387248644004,0.0,0
23,3,close,28.0,vivid pink,2,0.13359156175773462,0.14132387248644004,0.0,0
24,3,split,30.0,yellow,1,0.15521125098968716,0.14490150335141327,0.0,0
25,3,far,12.0,gray,1,0.15521125098968716,0.14490150335141327,0.0,0
26,3,far,15.0,orange,1,0.15521125098968716,0.14490150335141327,0.0,0
27,3,split,9.0,yellow,1,0.1552112509896867,0.14490150335141327,1.0,1
28,3,close,51.0,pink,1,0.15521125098968716,0.14490150335141327,0.0,0
29,3,split,35.0,green,1,0.15521125098968716,0.14344856278597243,0.0,0
30,3,far,26.0,dull yellow,2,0.13359156175773462,0.14132387248644004,0.0,0
31,3,close,15.0,vivid yellow,2,0.13359156175773462,0.14132387248644004,0.0,0
32,3,far,17.0,yellow,1,0.1552112509896867,0.14490150335141327,1.0,1
33,3,split,31.0,yellow,1,0.15521125098968716,0.14490150335141327,0.0,0
34,3,close,13.0,yellow,1,0.15521125098968716,0.14490150335141327,0.0,0
35,3,far,46.0,orange,1,0.15521125098968716,0.14490150335141327,0.0,0
36,3,close,84.0,red,1,0.1552112509896867,0.14490150335141327,1.0,1
37,3,split,50.0,blue,1,0.15521125098968716,0.14490150335141327,0.0,0
38,3,split,67.0,blue,1,0.15521125098968716,0.14490150335141327,0.0,0
39,3,close,37.0,dark purple,2,0.13359156175773462,0.14132387248644004,0.0,0
40,3,split,16.0,blue,1,0.15521125098968716,0.14490150335141327,0.0,0
41,3,far,26.0,green,1,0.15521125098968716,0.14490150335141327,0.0,0
42,3,split,47.0,vivid cyan,2,0.13359156175773498,0.14132387248644004,1.0,1
43,3,split,39.0,cyan,1,0.1552112509896867,0.14490150335141327,1.0,1
44,3,far,65.0,red,1,0.15521125098968716,0.14490150335141327,0.0,0
45,3,split,27.0,pink,1,0.15521125098968716,0.14490150335141327,0.0,0
46,3,split,19.0,light brown,2,0.13359156175773498,0.14132387248644004,1.0,1
47,3,close,6.0,orange,1,0.15521125098968716,0.14490150335141327,0.0,0
48,3,split,12.0,dull blue,2,0.13359156175773462,0.14132387248644004,0.0,0
49,3,far,18.0,orange,1,0.15521125098968716,0.14490150335141327,0.0,0
50,3,far,13.0,dull cyan,2,0.13359156175773462,0.14132387248644004,0.0,0
51,3,close,50.0,red,1,0.15521125098968716,0.14490150335141327,0.0,0
52,3,split,38.0,dark orange,2,0.13359156175773462,0.14132387248644004,0.0,0
53,3,close,11.0,dull orange,2,0.13359156175773498,0.14132387248644004,1.0,1
54,3,split,12.0,gray,1,0.1552112509896867,0.14490150335141327,1.0,1
55,3,close,61.0,vivid purple,2,0.13359156175773462,0.14132387248644004,0.0,0
56,3,far,17.0,dark blue,2,0.13359156175773498,0.14132387248644004,1.0,1
57,3,far,34.0,light yellow,2,0.13359156175773462,0.14132387248644004,0.0,0
58,3,far,13.0,green,1,0.15521125098968716,0.14490150335141327,0.0,0
59,3,close,8.0,dull cyan,2,0.13359156175773462,0.14132387248644004,0.0,0
60,3,close,17.0,yellow,1,0.15521125098968716,0.14490150335141327,0.0,0
61,3,split,89.0,vivid green,2,0.13359156175773462,0.14132387248644004,0.0,0
62,3,split,53.0,purple,1,0.1552112509896867,0.14490150335141327,1.0,1
63,3,far,8.0,light pink,2,0.13359156175773462,0.14132387248644004,0.0,0
64,3,split,42.0,dark green,2,0.13359156175773462,0.14132387248644004,0.0,0
65,3,close,57.0,dark blue,2,0.13359156175773462,0.14132387248644004,0.0,0
66,3,split,27.0,pink,1,0.1552112509896867,0.14490150335141327,1.0,1
67,3,close,73.0,dark cyan,2,0.13359156175773462,0.14132387248644004,0.0,0
68,3,split,11.0,pink,1,0.15521125098968716,0.14490150335141327,0.0,0
69,3,far,24.0,dark green,2,0.13359156175773462,0.14132387248644004,0.0,0
70,3,far,15.0,dull green,2,0.13359156175773462,0.14132387248644004,0.0,0
71,3,split,41.0,dull pink,2,0.13359156175773462,0.14132387248644004,0.0,0
72,3,split,31.0,vivid purple,2,0.13359156175773498,0.14132387248644004,1.0,1
73,3,split,80.0,blue,1,0.1552112509896867,0.14490150335141327,1.0,1
74,3,close,14.0,dark cyan,2,0.13359156175773462,0.14132387248644004,0.0,0
75,3,far,19.0,dull cyan,2,0.13359156175773462,0.14132387248644004,0.0,0
