seed,rsa_ll,aif_ll
0,-1935.9145569963905,-1940.4179067814305
1,-21761.84730815673,-21768.227240343324
2,-21811.89616885351,-21818.735380103593
3,-21890.766037506568,-21895.825535265798
4,-21606.638153736018,-21612.754324367044
5,-21274.027411809155,-21279.968332891804
6,-21218.700611138705,-21226.901211472115
7,-20798.141011920445,-20790.95697226469
8,-21014.07713489966,-21021.522641773547
9,-21637.318180635655,-21640.099471558973
10,-21526.163767814356,-21534.501903293058
11,-21272.00337482088,-21279.099319338664
12,-21478.110831247108,-21484.82728224673
13,-21035.643077401557,-21044.92827389764
14,-21838.167351087923,-21844.64188562837
15,-21220.501359315927,-21227.42320686949
16,-20782.917617543124,-20790.280397671577
17,-21889.104821767276,-21895.805958084482
18,-21088.878378410078,-21097.547930048117
19,-21007.66960920443,-20997.153597428096
20,-21224.01674372836,-21227.66188052163
21,-21993.885794281916,-22000.028904939812
22,-21706.694966023504,-21714.580591594684
23,-21171.472607672997,-21175.767273239057
24,-21607.387284381115,-21612.704136359807
25,-21348.494578819536,-21354.801680071298
26,-21193.689208657546,-21201.823380427508
27,-20745.110048893428,-20738.86310142575
28,-21144.17227530573,-21150.789870530236
29,-21913.612114772783,-21920.623046316377
