utterance,p1_mean,n_obs,entropy,ambiguity
%$^$ sorry,0.8995889338120496,1,0.32598524051124106,0.20082213237590074
'... rain' ;),0.749937209386315,1,0.5624041166454393,0.5001255812273699
'... rain' meets concrete,0.7433244121443999,1,0.569550885878604,0.5133511757112001
'... rain' would be from the prince song),0.817200960652107,1,0.47561136954470157,0.365598078695786
'.... rain ... rain ' (prince song),0.7896999020200288,1,0.5143540067277041,0.42060019595994236
'.... rain ..... rain',0.75806635856419,1,0.5532985663292084,0.48386728287161995
'.... rain' prince song,0.8051461956959579,1,0.49318498114602627,0.3897076086080842
'...rain',0.7336110699962736,2,0.5796340154861077,0.5327778600074529
'..rain',0.7336110699962736,1,0.5796340154861077,0.5327778600074529
'I love you...you love me...' sorry,0.8612918903777659,1,0.40261138050593526,0.27741621924446824
'Tis but a scratch ;),0.8731705007438908,1,0.3803149650551163,0.2536589985122184
'brightest' green,0.9305344479304745,1,0.25225429715798636,0.13893110413905108
'green,0.9373301339813861,1,0.2342514183954781,0.1253397320372278
'here comes the sun!',0.8546209485432485,1,0.41460912800881916,0.2907581029135029
'here comes the sun',0.8364562759891371,1,0.44549973940314574,0.32708744802172585
'light blue,0.9167411733016128,1,0.28665728760320214,0.1665176533967745
'light yellow,0.9306152612610369,1,0.2520445418392852,0.13876947747792623
'oooooh half way there...',0.7706956979101104,1,0.5384343545013202,0.4586086041797792
"'purple rain, purple rain.' :D",0.8648274545404157,1,0.39610252834682225,0.2703450909191687
(*Okay),0.8927259052326206,1,0.3407779468329532,0.21454818953475874
(*fist bumps the screen) lol,0.8675855816946455,1,0.39095077927556454,0.264828836610709
(Easy one Thank goodness )  Red,0.9206231606556764,1,0.27724475280375427,0.1587536786886472
(Huzzah!),0.8403856796496753,1,0.439029780836352,0.3192286407006495
(I don't know if I'm allowed to say them or not?) Sky,0.8574403543950422,1,0.40958291316661277,0.28511929120991564
(I'm not doing that well I apologize),0.8571252856616581,1,0.4101478008955213,0.28574942867668374
(It's been fun!) Hunters color,0.8351015089295092,1,0.44770415280384385,0.32979698214098163
(Oh! No worries my fault) Umm...the non blue concrete,0.8993780525600291,1,0.32644738654777966,0.20124389487994176
(We had a good run!),0.8681571145632924,1,0.38987500115140217,0.26368577087341527
(also hunters orange),0.8275007191911046,1,0.4598270917384341,0.34499856161779086
(also someone told me we can't say the colors),0.8232308536391854,1,0.4664588628071311,0.3535382927216293
(bright pink),0.9368521229849897,1,0.2355425718579782,0.1262957540300207
(crap) um..the one that is the most different from the other two,0.8742802857615461,1,0.3781682964336234,0.2514394284769077
(darker grey),0.8736038506359812,1,0.3794780599683961,0.25279229872803755
(have you done a bunch of these?),0.8534466540267953,1,0.4166836347190038,0.29310669194640937
(hello!),0.8030557709990491,3,0.4961369326153763,0.39388845800190175
(hey thanks it's been fun!) purple,0.8822502449907587,1,0.3624174292040361,0.23549951001848268
(meaning this one is harder),0.8385724521469394,1,0.44202951605352525,0.32285509570612114
(my bad) um...this one is not salmon or sky,0.8969490016974743,1,0.3317354478513669,0.20610199660505146
(naw my bad) the one that is least like the others,0.8996196565704162,1,0.32591787055379623,0.2007606868591676
(nice way) non '...rain' or vomit,0.8440868742647687,1,0.43283033823123584,0.3118262514704626
(nice!),0.9141103578391938,1,0.2929233627883067,0.17177928432161238
(not either of the greens),0.8684320318740489,1,0.38935651716776465,0.2631359362519021
(not the blueish one),0.9012247888761962,1,0.32238347280540114,0.19755042224760766
(prince song),0.8418052248652819,1,0.4366642440664925,0.31638955026943627
(rats..),0.8917458945548832,1,0.34284948299109075,0.21650821089023364
(some of these are tricky! sorry!),0.8568260119751461,1,0.41068361894085176,0.28634797604970785
(sorry I'm kind of having a hard time describing some of these) olive,0.8460010139325428,1,0.42958347267785385,0.3079979721349144
(sorry about that!),0.8569953382806027,1,0.41038054777147515,0.2860093234387946
(sorry about that),0.8775140945641687,1,0.37184889685748296,0.24497181087166253
(sorry had to step away for a sec),0.8180345907116011,1,0.47436068172806134,0.36393081857679777
(sorry!),0.9029148160944547,2,0.31863085320037665,0.19417036781109065
(success!),0.8927259052326206,1,0.3407779468329532,0.21454818953475874
(that one's on me) um the most like grass?,0.8722602925752134,1,0.38206728510723303,0.25547941484957315
(this thing is going to make me learn my colors damnit),0.8566942497522704,1,0.41091929377903746,0.28661150049545925
(ty- I was having a lot of trouble with that last one) dark blue,0.8606608871959939,1,0.4037619669358831,0.27867822560801225
(whew total guess lol),0.8527696450568701,1,0.41787462252196206,0.2944607098862597
(whew whew! ;) ),0.9306906493838635,1,0.25184877675430506,0.13861870123227304
(yes they are!) vomit,0.8889589221174489,1,0.3486864410038939,0.22208215576510226
(you got the green one right),0.9020253202414705,1,0.3206099633502106,0.19594935951705894
(you're doing great!),0.9018178183706564,2,0.3210703602585339,0.1963643632586871
*curious,0.892031182330013,1,0.34224747480254036,0.215937635339974
*darkish,0.8917458945548832,1,0.34284948299109075,0.21650821089023364
*does happy dance,0.7050606195877505,1,0.6065152758987866,0.5898787608244991
*fist bumps screen,0.7670353955918289,1,0.5428337671278813,0.46592920881634226
